Title,Year,Duration,MPAA,Genres,IMDb_Rating,Director,Stars,Plot_Summary,Votes,Duration_In_Minutes
City of Love,2023,1h 21min,Not Rated,"Comedy, Crime, Thriller",8.4,Èric Boadella,"Robert DeCesare, Kathryn Schott, Taylor Nichols","Spencer, a troubled rideshare driver in Los Angeles, will go to dangerous lengths to reconnect with the world he lost after spending 20 years in jail.",5637,81
Mustard Man,2024,Unknown,Not Rated,Comedy,9.4,Roman Lynch,"Zach Mund, Albert DiCesare, Joseph Arioto","KJ leaves school, unsure if he'll ever return. He arrives home, only to find that his parents have moved without telling him. Directionless, he meets an old friend and joins a ragtag rock band, paving the way for an eventful summer.",31000,Unknown
O Faixa Preta,2022,1h 35min,Not Rated,"Biography, Drama, Sport",6.9,Caco Souza,"Raphael Logam, Lui Mendes, Isabel Fillardis","Five-time Jiu-Jitsu world champion, Tererê won almost all the matches he fought. But it was away from the mats that he suffered his greatest setback. Based on real facts, the film tells the fantastic story of Fernando Tererê's resilience.",315732,95
The World According to Allee Willis,2024,1h 37min,Not Rated,"Documentary, Biography, Music",8.8,Alexis Spraic,"Pamela Adlon, Stephen Bray, Julie Brown",Songwriter / artist Allee Willis began filming her life as a kid in 1950s Detroit and never stopped. She pursued creative expression at all costs while struggling to fit established gender and sexual norms - until she found a path to love.,31000,97
Helmut Newton: The Bad and the Beautiful,2020,1h 33min,Not Rated,"Documentary, Biography, History",7.1,Gero von Boehm,"Helmut Newton, Sigourney Weaver, Grace Jones",The trailblazing late photographer Helmut Newton had a defining impact on the worlds of fashion and art.,12579,93
Zombeez,2023,Unknown,Not Rated,"Adventure, Sci-Fi, Thriller",9,Elesia Marie,"Ann Marie Crouch, Teance Blackburn","When honeybee hives start dying off and bodies start piling up in a small, Northwest Florida town, the local coroner is forced to team up with the apiologist who left her at the altar years ago, to try to solve this deadly mystery.",41,Unknown
The Fisherman and the Banker,2024,1h 25min,Not Rated,Documentary,9.2,Sheena Sumaria,Unknown,"An ancient fishing community in the Gulf of Kutch, India, join forces with human rights lawyers in Washington, D.C. to file the first-ever lawsuit against the World Bank Group for funding a coal-fired power plant along its coast.",31000,85
Kargil 1999- The Untold Story of the Indian Air Force,2024,Unknown,Not Rated,Documentary,9.1,Smriti Singh Mahajan,"Air Mshl Ps Ahluwalia, Alok Sahay, Tipnis Air Chief Mshl Ay Tipti","The IAF veterans reveal for the first time, classified information on their operation for reclaiming high-altitude posts intruded by the Pakistan army.",31000,Unknown
Kill It and Leave This Town,2020,1h 28min,Not Rated,"Animation, Drama, Horror",6.6,Mariusz Wilczynski,"Krystyna Janda, Andrzej Chyra, Maja Ostaszewska","Fleeing from despair after losing those dearest to him, the hero hides in a safe land of memories, where time stands still and all those dear to him are alive.",23000,88
The Safe,2023,1h 43min,Not Rated,"Crime, Thriller",7.2,Uwe Schwarzwalder,"Thamar Rieser, Thomas Kühl","A taxi driver, a police woman, and a barkeeper are stealing a safe from a drug kingpin, soon realizing that he and his goon are after them to get it back, while the taxi driver sets up his own escape plan.",353696,103
Childhood 2.0,2020,1h 28min,Not Rated,Documentary,7.5,Robert Muratore,"Skyler Sledge, Shauna Sledge, Avi Khanna","The mental health of our children is statistically at an all-time low. Kids spend more time online and less engaging in real life, free play and autonomy. Childhood was more or less unchanged for a millennia, this is Childhood 2.0.",96617,88
Loving Highsmith,2022,1h 23min,Not Rated,"Documentary, Biography, History",6.9,Eva Vitija,"Annina Butterworth, Patricia Highsmith, Marijane Meaker","Based on Patricia Highsmith's personal writings and accounts of her family and lovers, the film casts new light on the famous thriller writer's life and oeuvre, permeated by themes of love and its defining influence on identity.",66858,83
Your 1/2 of the Rent,2024,1h 45min,Not Rated,Romance,9,Marquette Jefferson,"Courtney Carl, Devin Cherry, Jaclynn Cherry","When a screenwriter's girlfriend breaks up with him for being consistently unemployed, his sexy boss at his new job develops a crush on him. He becomes the center of a love triangle.",31000,105
Explorer: The Last Tepui,2022,55min,Not Rated,Documentary,6.9,Renan Ozturk,"Franklin George, Alex Honnold, Brian Irwin",Follows elite climber Alex Honnold and a world-class climbing team on a grueling mission deep in the Amazon jungle.,93945,55
Psychosis,2023,1h 38min,Not Rated,"Horror, Thriller",7.1,Pirie Martin,"Derryn Amoroso, Kate Holly Hall, Henry Errington","A criminal fixer who experiences auditory hallucinations must confront old demons when a new contract drags him into a surreal maelstrom of mind-altering drugs, delusional vigilantes and a sadistic hypnotist who seems more monster than man",207880,98
A Long Way to Come Home,2023,1h 49min,TV-14,Drama,6.6,Angga Dwimas Sasongko,"Sheila Dara Aisha, Jerome Kurnia, Lutesha","Studying abroad in London, Aurora struggles with her relationships while away from her family in this sequel to ""One Day We'll Talk About Today.""",42625,109
Voodoo Macbeth,2021,1h 48min,Not Rated,Drama,6.5,Dagmawi Abebe,"Inger Tudor, Jewell Wilson Bridges, June Schreiner","In 1936 Harlem, the first all-Black cast production of 'Macbeth' struggles to make it to opening night amid the downward spiral of their young and untested director - Orson Welles.",279354,108
The United States of Insanity,2021,1h 39min,Not Rated,"Documentary, Biography, Music",7,Tom Putnam,"Mike Busey, FlipFlop The Clown, Howard Hertz","The story of controversial rap duo Insane Clown Posse (ICP), their fans, and their ongoing struggle with the FBI in a landmark case that may be a bellwether of change for First Amendment rights in America.",61463,99
Revolution X,2022,Unknown,Not Rated,Sci-Fi,7.8,Matthew Philip Cannon,"Tee Morris, Carlotta Ryan, Ruggero Alexander","When a talented artists destiny to change the world is destroyed, people from the future come back to restore his true path. But their mission won't be simple.",193786,Unknown
This Is a Film About the Black Keys,2024,1h 30min,Not Rated,"Documentary, Music",8.2,Jeff Dupre,"Dan Auerbach, Patrick J. Carney","Dan Auerbach and Patrick Carney formed The Black Keys in Akron, Ohio. After a decade of relentless touring and navigating highs and lows, they found mainstream success with Brothers and El Camino.",31000,90
The Driven Ones,2023,1h 33min,Not Rated,Documentary,7.3,Piet Baumgartner,Unknown,Over the course of five years THE DRIVEN ONES follows tomorrow's business elite: from their studies in the best master's program worldwide through to the first years of their careers.,72420,93
The Musical Mind: A Portrait in Process,2023,1h 24min,Not Rated,"Documentary, Biography, Music",8.2,Scott Hicks,"Ben Folds, David Helfgott, Daniel Johns","Inspired by the 25th Anniversary of 'Shine (1996)', the mysterious world of musical genius of brilliant musicians is explored as well as transformational story-telling, the mystery of prodigy and the impact of music on the brain.",67225,84
We Dare to Dream,2023,1h 38min,Not Rated,"Documentary, Sport",8.2,Waad Al-Kateab,"Kimia Alizadeh, Wael Fawaz Al-Farraj, Saeid Fazloula",Complete access to the IOC Refugee Olympic Team which were part of the Tokyo Olympics.,177326,98
Dio: Dreamers Never Die,2022,2h 7min,Not Rated,"Documentary, Biography, Music",8.4,Don Argott,"Ronnie James Dio, Wendy Dio, Mick Wall","The first career spanning documentary on the heavy metal vocalist to be authorized by the artist's estate includes scenes with peers, family and friends; never before seen footage; personal photos.",146953,127
Erase una vez en el Caribe,2023,Unknown,Not Rated,"Action, Drama, Western",8,Ray Figueroa,"Héctor Aníbal, Essined Aponte, Néstor Rodulfo","When his beloved wife disappears, a peasant with a violent past takes his machete and his daughter in his arms, and sets out on a path of revenge.",99363,Unknown
How to Come Alive with Norman Mailer,2023,Unknown,Not Rated,Documentary,8.5,Jeff Zimbalist,Norman Mailer,"From Brooklyn beginnings to literary pantheon, Norman Mailer's unorthodox trajectory spans marriages, offspring, accolades. Unprecedented glimpse into preeminent 20th-century author's private and public worlds through intimate biography.",89746,Unknown
The World Is Family,2023,1h 36min,Not Rated,Documentary,7.3,Anand Patwardhan,Unknown,Explores the personal background of Anand Patwardhan's parents and their connections to the key figures in the Indian independence movement.,276833,96
Wilder Than Her,2023,1h 29min,Not Rated,"Horror, Thriller",7.1,Jessica Kozak,"Sunita Mani, Kate Easton, Kayla Foster","After the death of their friend Bea, tight-knit friends Emilia, Finn, and Lucey attempt to reconnect on an annual camping trip, but things grow increasingly strange and uncomfortable in the isolated forest as their friendship unravels.",139189,89
Climate: The Movie (The Cold Truth),2023,1h 20min,Not Rated,Documentary,6.6,Martin Durkin,"Steve Koonin, Richard Lindzen, William Happer",A different perspective on the climate change debate supported by the scientists who signed the Clinton World Climate Declaration.,76967,80
The Giants,2023,1h 50min,Not Rated,"Documentary, Animation, Biography",8,Rachael Antony,Bob Brown,"The Giants is a poetic portrait of environmentalist Bob Brown's 50-year activism, from Tasmania's last wild river to the Tarkine rain forest, showcasing his life cycle and the extraordinary life cycle of Australia's giant trees.",73735,110
Jacinta,2020,1h 45min,TV-MA,Documentary,7.5,Jessica Earnshaw,"Jacinta, Rosemary","Filmed for over three years, JACINTA begins at the Maine Correctional Center where Jacinta, 26, and her mother Rosemary, 46, are incarcerated together, both recovering from drug addiction. As a child, Jacinta became entangled in her mother's world of drug",68262,105
The Lady Bird Diaries,2023,1h 40min,Not Rated,Documentary,7,Dawn Porter,"Lady Bird Johnson, Lyndon B. Johnson",A groundbreaking documentary film that uses Lady Bird's audio diaries to tell the story of one of the most influential and least understood First Ladies in history.,383415,100
Learning to Live Together: The Return of Mad Dogs & Englishmen,2021,1h 51min,Not Rated,"Documentary, Music",8,Jesse Lauter,"Rita Coolidge, Steve Earle, Jim Keltner","The story of Joe Cocker's historic ""Mad Dogs and Englishmen"" tour through the lens of the Tedeschi Trucks Band's reunion of the Mad Dogs.",14891,111
Faith of Our Fathers,2023,1h 20min,13+,Drama,8.2,Campbell Miller,"Kasper Andreasen, Catherine Brennan, Conor Charlton","A riveting EWTN original film about a Catholic priest defending the faith against the 18th century English penal laws, and the determination of the Irish community to protect him in the face of unrelenting persecution.",4291,80
Demon Behind the Glass,2023,1h 24min,Not Rated,"Horror, Mystery, Thriller",6.7,Joshua Recene,"Adam Holley, Jessica Nogaret, Joshua Sedelmeyer","Fallen journalist rents home, finds decaying remains inside wall. String of murders reveals demonic clan hunting humans. He must navigate evil plot to survive.",13426,84
The Blonde Experiment,2022,1h 25min,Not Rated,Comedy,6.8,Veronica Mannion,"Ariel Hart, Elizabeth Daily",Two best friends find out what it's like to live on the other side of the VIP lounge by donning magical blonde wigs that put them at the center of attention. But is it enough to keep their friendship tight?,167177,85
Chintu Ka Birthday,2020,1h 20min,Not Rated,"Comedy, Drama, War",7.7,Devanshu Singh,"Vinay Pathak, Tillotama Shome, Seema Pahwa","During US invasion of Iraq some illegal migrants are waiting to get back home to India. As one such family prepares to celebrate the 6th birthday of their youngest member Chintu, their kind-hearted Iraqi landlord lends them a helping hand.",52967,80
Bisping,2021,1h 50min,Not Rated,Documentary,7.6,Michael Hamilton,"Scott Adkins, Michael Bisping, Karyn Bryant","After a tumultuous decade-long career filled with injuries and missed opportunities, 38-year-old UFC middleweight Michael Bisping finally got his due, and he plans to go out swinging.",66544,110
Heroes,2020,1h 51min,Not Rated,"Documentary, Sport",7.6,Manish Pandey,"Mika Häkkinen, Tom Kristensen, Felipe Massa","Two-time Formula One World Champions, share never-before-heard tales of triumph and tragedy, as well as their memories of times alongside Formula One champion Michael Schumacher.",32858,111
Salli,2023,1h 46min,Not Rated,Drama,7.3,Chien-Hung Lien,"Po-Hung Lin, Esther Liu, Li-Yin Yang","An online romance with a foreigner takes a lonely middle-aged chicken farmer to an unknown land. Despite everyone saying it is a romance scam, she wants to prove that her love indeed exists.",390975,106
Soulmates,2023,Unknown,Not Rated,"Drama, Fantasy, Musical",8,Jim Fitzpatrick,"Jadon Cal, Samantha Reddy","Everybody dreams. Based on a true story two young singer-songwriters sharing the same metaphysical dream since they were children, are faced with the harsh reality of choosing their passionate fate of love or life.",114618,Unknown
Our Kid,2023,Unknown,Not Rated,Drama,7.3,Sean Cronin,"Leanne Best, Ricky Tomlinson, Louis Emerick","Follows Laura Reilly, a 12-year-old whose dream is to play for Liverpool when she grows up.",24663,Unknown
Games People Play,2020,1h 57min,Not Rated,"Comedy, Drama",6.9,Jenni Toivoniemi,"Iida-Maria Heinonen, Paula Vesala, Emmi Parviainen",A comedy about the tragedy of being forever young.,104006,117
A Girl Upstairs,2024,1h 30min,Not Rated,"Drama, Mystery",6.7,Kevin Van Stevenson,"Holly Blair, Gustavo Cintra, Sara Catherine Bellamy","A successful but isolated artist, struggling with agoraphobia, has her life turned upside down when one of her works of art comes to life. At first, she joyfully accepts this reprieve from her self-imposed exile, but her new friends are not all they seem,",31000,90
Passages of Nexus,2024,Unknown,Not Rated,"Crime, Horror, Mystery",7,Alex Nigo,"Kris Smith, Justin W. Fox, Michael Della Pia",An off the wall horror anthology of a detective on a hunt for a sadistic and crazed killer who targets web based formats. In a cat and mouse chase of horror that'll get under your skin,31000,Unknown
The First Taste,2022,1h 26min,Not Rated,Drama,8.4,Violena Ampudia,"Leticia Aires, Jennifer Ferris, Mirjam Hameter",An anthology of female-focused shorts exploring six new flavors of love and desire.,191382,86
Ice Cream Man,2020,53min,TV-14,"Documentary, Comedy, Drama",7.4,Ian Washburn,"Brett Benowitz, Bo Burnham, Dane Kevin Cook",The mystery of internet legend Daxflame.,59000,53
Ten Toes Down,2024,Unknown,Not Rated,Thriller,6.7,Tonja Ayers,"Reginald Allen, Donna Banks, Ulysses Barnes","Kyra Brooks is a woman who possesses what the average woman wants: a loving husband, a good job, and a comfortable life but an impulsive decision threatens to unravel her foundation. When Kyra decides to engage in an extramarital affair, she embarks on a",31000,Unknown
"Civil War (or, Who Do We Think We Are)",2021,1h 40min,Not Rated,"Documentary, Drama",7.8,Rachel Boynton,"Cate Arnold, Robert Epperson",A journey across the United States to explore the story of the Civil War of Americans from President Obama's final year in office through the present.,116311,100
The Race to Alaska,2020,1h 39min,Not Rated,Documentary,7.8,Zach Carver,"Jake Beattie, Daniel Evans","Set in one of the most complex waterways in the world, showing the hardships and dangers in the Race to Alaska. Many will succumb against winds, currents, whirlpools, fear and fatigue as both character and watercraft are tested.",152947,99
Intent Unknown,2024,Unknown,Not Rated,Drama,7.8,Terence Gordon,"Eric Roberts, Ricky Bartlett, Lucy Deacon","In this gripping psychological thriller, four ambitious psychology students embark on a risky experiment to unravel the mysteries of human behavior. Harper choosing her secluded home as the perfect location, she and her classmates Luna, Chase, and Amelia",31000,Unknown
Brighton 4th,2021,1h 30min,Not Rated,"Comedy, Drama",6.8,Levan Koguashvili,"Levan Tedaishvili, Giorgi Tabidze, Nadezhda Mikhalkova",Georgian wrestler Kakhi travels to Brooklyn to help his son out of a gambling debt.,230963,90
Jimmie and Stevie Ray Vaughan: Brothers in Blues,2023,1h 48min,Not Rated,Documentary,7.4,Kirby Warnock,"Jimmie Vaughan, Eric Clapton, Jackson Browne","The story of Jimmie and Stevie Ray Vaughan, as told by those who knew them best: brother Jimmie, Eric Clapton, Nile Rodgers, Jackson Browne, Billy Gibbons and their early band mates.",279956,108
The Bystanders,2022,1h 37min,Not Rated,Comedy,7.1,Gabriel Foster Prior,"Frank Harper, Lucy Pinder, Emily Wyatt",An off-the-wall comedy set in the world of the Bystanders - invisible immortals who watch over their human subjects and intervene in (or interfere with) their lives.,132134,97
The Master Chief: Part One,2023,2h 15min,Not Rated,"Action, Adventure, Drama",6.8,Chris Soriano,"Jon Awit, Ryan Barrier",A young Filipino sailor is confronted with the stark reality of racial tension aboard a Naval ship.,207797,135
Home Free,2023,1h 38min,Not Rated,Comedy,8.5,Aaron Brown,"Ryan Cownie, John Karna, Jashawn Lee",A group of irresponsible college misfits open their first home to an unhoused professor against their parents' better wishes.,41785,98
Aware: Glimpses of Consciousness,2021,1h 42min,Not Rated,Documentary,7.4,Eric Black,"Richard Boothby, Mary Cosimano, Justine Fritz","What is consciousness? Is it in all living beings? What happens when we die? Why do we seem to be hardwired for mystical experience? In these times of existential crisis, there has been an explosion of research into consciousness. After four centuries of",132595,102
The Genius of Gianni Versace Alive,2022,1h 33min,Not Rated,Documentary,6.9,Salvatore Zannino,"Kimberly Bacardi, Andrea Boccaletti, Jon Bon Jovi","Filmed in Gianni Versace's mansion in Miami where every object is a separate work of art, the documentary attempts to bring the genius of the Italian fashion giant to life. Through archival material and the confessions of friends and former colleagues, a",320582,93
CHAAW: Chapter 1,2023,1h 12min,R,"Comedy, Crime, Music",8.2,Eric S. Orr,"Biz Markie, Big Daddy Kane, Traci Braxton","Five interconnected stories highlighting victims of injustice through Biz Markie's beatboxing and rhymes. Impact of injustice on individuals, families, and communities.",157301,72
On the Record,2020,1h 35min,TV-MA,Documentary,7.2,Kirby Dick,"Sil Lai Abrams, Joe Biden, Tarana Burke",A former hip hop executive decides whether to make public her rape by one of the most powerful men in the music industry.,198648,95
Murder of the Essex Boys: Blood and Betrayal,2023,1h 36min,Not Rated,Documentary,6.9,Trevor Drane,"Colin Sutton, Bernard O'Mahoney, Steve Nipper Ellis","In 1995, three men were murdered in a Range Rover in Essex. Despite convictions, the motives and perpetrators remain uncertain. Exclusive interviews with key figures and detectives aim to uncover the truth behind this infamous crime.",226405,96
Cholo Zombies,2024,1h 40min,Not Rated,"Action, Comedy, Horror",7.3,Eric Rafael Ibarra,"Vince Romo, Paul Rodriguez, Dinero100k","It is a crazy tale of zombie absurdity where only true Cholos turn and SoCal's legal system is a little TOO lenient. With fast paced action, gore galore, and classic cholo cameos, this is an adventure you won't want to miss.",31000,100
Ferryman,2023,1h 30min,Not Rated,"Romance, Thriller",8.1,Darren Bender,"Oliver Lee, Carli Fish, Clint Dyer","A secret club draws a haunted, young soldier into the orbit of a beautiful, reckless woman. But as they are falling in love, a life-threatening challenge forces them to make the most of every moment they have together.",42435,90
The Ceremony,2024,1h 32min,Not Rated,Drama,7.5,Jack King,"Arnold Baksi, Tudor Cucu-Dumitrescu, Mustafa Husseini","On a journey to find a burial ground for a departed colleague, two migrant workers find the quest hampered by their differences.",31000,92
Young Plato,2021,1h 42min,Not Rated,Documentary,7.8,Declan McGrath,"Kevin McArevey, Jan-Marie Reel","School headmaster Kevin McArevey tries to change the fortunes of an inner-city Irish community plagued by urban decay, sectarian aggression, poverty and drugs.",169103,102
The Boy Foretold by the Stars,2020,1h 47min,Not Rated,Romance,6.6,Dolly Dulu,"Adrian Lindayag, Keann Johnson, Iyah Mina","Two high school seniors, with the help of a mystical fortune teller, find each other at a recreational retreat called Journey with the Lord.",292332,107
"Crack: Cocaine, Corruption & Conspiracy",2021,1h 29min,TV-MA,"Documentary, Crime, History",6.7,Stanley Nelson,"Elizabeth Hinton, Nelson George, Alan Charles","In the early 1980s, the crack epidemic tore through America’s inner cities like a tsunami, ravaging all in its wake.",268510,89
Transient,2024,1h 36min,16+,"Drama, Sci-Fi, Thriller",7.6,Chris Ruppert,"Greg Poppa, Eric Francis Melaragni, Sugey Cruz","After a traumatic accident, a tech entrepreneur's new invention forces him to wrestle with the ghosts of his past.",31000,96
The Wandering,2020,1h 20min,Not Rated,"Adventure, Drama, Fantasy",8.5,Liza Bolton,"Philip P. Coffey, David Nolan, Mark Savage","Bound by familial duty, Cathal and his brothers Cet and Cormac, accompany their exiled father Fergus, into the bleak wilderness in search of redemption and a new beginning in a world where all hope is lost.",19275,80
Favorite Son,2021,1h 35min,TV-14,Drama,6.5,Robin Givens,"Eric Allen, Lisa Arrindell, Brii Renee'","The story of brothers in a gospel group struggling to find the balance between life, love, faith, and religion, while under the strict rule of their father, a megachurch reverend.",187726,95
As We Speak,2024,1h 36min,Not Rated,"Documentary, Music",6.5,J.M. Harper,"Kemba, Killer Mike, Mac Phipps",Bronx rap artist Kemba explores the growing weaponization of rap lyrics in the United States criminal justice system and abroad - revealing how law enforcement has quietly used artistic creation as evidence in criminal cases for decades.,31000,96
Empress of Darkness,2020,1h 8min,Not Rated,Fantasy,8,Nick DiLiberto,John Jellinek,An Empress Slayed and a world forever cursed to Darkness. Follow Alpha as he is chased and ruthlessly hunted down by Graxus's Evil Horde who will stop at nothing until his existence is stomped out from this world.,62212,68
Karma,2023,1h 3min,Not Rated,Drama,6.5,Anthony Williams,"Makeiva Albritten, Andra Alexis, Wavy Bry","After being kicked out her home for revealing a horrific family secret, Karma has no other choice but to turn to the streets for survival.",3481,63
Rain Town,2023,1h 55min,Not Rated,Drama,7,Tunku Mona Riza,"Kin Wah Chew, Susan Lankester, Fabian Loo","In the idyllic town of Taiping, head of the family, Choo ruthlessly attempts to control the dreams and happiness of his three children. The only person who soothes the father's and children's friction is Choo's wife, Aileen.",328529,115
Facing Monsters,2021,1h 30min,Not Rated,Documentary,6.7,Bentley Dean,"Kerby Brown, Cortney Brown, Glenn Brown","Facing Monsters is a feature length documentary that digs deep into the psyche of West Australian 'slab wave' surfer Kerby Brown, a man whose connection with the ocean runs as deep as his love for his family.",365551,90
Three Minutes: A Lengthening,2021,1h 9min,PG,"Documentary, History, War",7.3,Bianca Stigter,"Helena Bonham Carter, Guy Clemens, Thomas Dudkiewicz","A snippet of 16mm film offers an emotionally charged, meditative glimpse into the lives of the unsuspecting Jewish citizens of a small Polish village at the precipice of World War II.",199775,69
Detroit Evolution,2020,1h 15min,Not Rated,"Romance, Sci-Fi",6.6,Michelle Iannantuono,"Maximilian Koger, Christopher Trindade, Jillian Geurts","It's been one year since Markus freed the androids of Detroit. The most advanced android ever created, Nines, has evolved past his initial programming as a ruthless hunter, and now protects the city as a DPD detective. But as new crimes and dangers start",10000,75
Shark Beach with Anthony Mackie,2024,45min,Not Rated,Documentary,6.9,Matt Kay,"Anthony Mackie, Brett Ryan, Jasmin Graham","Anthony Mackie stars in this documentary in which sharks steal fish from fishing lines. Mackie learns of these cases from locals, but discovers that they indicate larger environmental problems in the Gulf of Mexico.",31000,45
Liam Gallagher: Knebworth 22,2022,1h 37min,Not Rated,"Documentary, Music",7.3,Toby L.,"Liam Gallagher, Audrina Hatton-Wright","The Greatest Rock star of the last 30 years, a Man of the People, ""the King of Knebworth"" gives 160, 000 fans hope and joy through his music! ""Come on you know"" ""As you were"" Biblical.",160316,97
My Valentine Wedding,2024,Unknown,Not Rated,Romance,7.3,Christopher Nolen,"Shaquita Smith, Travis Cure, Barton Fitzpatrick","Krystal gets swept off her feet on Valentine's Day, but when her unofficial boyfriend returns, she must decide where her heart lies before she misses out on true love.",31000,Unknown
The Melon Heads: House of Crow,2024,Unknown,Not Rated,Horror,7.5,Eddie Lengyel,"Alicia Marie Spurlock, Tara O. Horvath, Branislav R. Tatalovic","While working on their senior project, Ada Collins and Kaylee Miller find themselves face to face with the sinister Doctor Crow and his Melon Heads.",31000,Unknown
Becoming Cousteau,2021,1h 34min,PG-13,"Documentary, Adventure, Biography",7.1,Liz Garbus,"Vincent Cassel, Carol Burnett, Louis Malle","A look at the life, passions, achievements and tragedies surrounding the famous explorer and environmentalist Jacques Cousteau, featuring an archive of his newly restored footage.",88220,94
The Ghost of Richard Harris,2022,1h 46min,Not Rated,Documentary,7.2,Adrian Sibley,"Jared Harris, Damian Harris, Jamie Harris","Richard Harris a fascinating man as seen through the eyes of his three sons, BAFTA Award-winning actor Jared Harris, actor Jamie Harris and director Damian Harris.",209694,106
Bye Bye Barry,2023,1h 32min,Not Rated,"Documentary, Sport",7.7,Paul Monusky,"Tim Allen, Bill Belichick, Jeff Daniels",The definitive story of Barry Sanders' Hall-of-Fame career and his extraordinary decision to walk away from the game in the prime of his career.,84685,92
Silver Dollar Road,2023,1h 40min,PG,Documentary,6.6,Raoul Peck,"John C. Barnett, Classie Curley, Melvin Davis",A Black family in North Carolina has been harassed for decades by land developers attempting to take their waterfront property.,117581,100
How to Ruin the Holidays,2023,Unknown,Not Rated,"Comedy, Drama",6.8,Arlen Konopaki,"Caroline Aaron, Freddy Boyd, Ricky Boynton","When a struggling comedian reluctantly returns home for the holidays, not only must she deal with her eccentric family, but she ultimately faces a life-changing decision about her special-needs brother.",393016,Unknown
A Resilient Man,2024,1h 30min,Not Rated,Documentary,7.3,Stéphane Carrel,Steven McRae,"A feature documentary film about STEVEN MCRAE, principal dancer of the Royal Ballet. A story of resilience, passion and hope.",31000,90
Viva the Underdogs,2020,1h 13min,Not Rated,Documentary,8.1,Allan Hardy,"Parkway Drive, Ben Gordon, Luke Kilpatrick",VIVA THE UNDERDOGS follows the self-managed Australian heavy metal band Parkway Drive on their 15 year underdog journey,34000,73
Soviet Bus Stops,2022,1h,Not Rated,"Documentary, History",7.7,Kristoffer Hegnsvad,"Christopher Herwig, Victor Sheptunov Illarionovich, Konstantinas Jakovlevas-Mateckis","Uncovering the stories of the designers who built fascinating architectural marvels during the Soviet regime, Soviet Bus Stops is an ode to the power of individual creativity that would not be suppressed.",50753,60
Antidote,2024,1h 29min,Not Rated,Documentary,9.5,James Jones,Unknown,"Whistleblowers and activists risk their lives exposing Vladimir Putin's authoritarian regime, facing grave consequences for their courageous efforts to uncover the truth.",31000,89
Tune Out the Noise,2023,1h 26min,Not Rated,Documentary,7.3,Errol Morris,"David Booth, Bill Bradley, David Butler","In this film, Errol Morris explores decision making in a market filled with information overload. Tune Out The Noise follows a group of pioneers who crossed paths at the University of Chicago in the middle of the 20th century, including David Booth, Eugen",257004,86
Kill City Cup,2023,54min,Not Rated,"Action, Comedy, Sci-Fi",7.3,Luke Robert,"Thomas Brower, Brian Cage, Randy Carver Jr.","The world was helpless. Mr. Kill was as cunning as he was evil and he knew a distracted population was a happy one, so he launched the Kill City Cup - a modern-day gladiator tournament to keep the masses entertained and pacified.",252297,54
In the Room Where He Waits,2024,1h 23min,Not Rated,Horror,7.3,Timothy Despina Marshall,"Daniel Monks, Susie Porter, Annabel Marshall-Roth","A queer theatre actor waits in a hotel room before his father's funeral. Convinced there is someone or something in the room with him, he must come face-to-face with all that haunts him, in a fight for his life.",31000,83
Empire,2023,1h 33min,Not Rated,"Comedy, Drama, History",6.6,Frederikke Aspöck,"Anna Neye, Sara Fanta Traore, Claus Riis Østergaard","St. Croix, the Danish West Indies, 1848. Anna and Petrine are close friends. Both are women of color, but Anna is free and owns her housekeeper, the enslaved Petrine. Things are seemingly fine until rumors of a rebellion begin to swirl.",97536,93
Red Fever,2024,1h 44min,Not Rated,Documentary,7.2,Catherine Bainbridge,"Christian Allaire, Philip J. Deloria, Korina Emmerich","An in-depth look at the ways Indigenous cultures have been reduced to stereotypes, appropriated by mainstream popular culture, and the impact on Indigenous peoples.",31000,104
Valleyheart,2024,1h 38min,Not Rated,Crime,9.3,Kathryne Isabelle Easton,"Anthony Goes, Jack Herholdt","In the San Fernando Valley, a woman with dreams of stardom is forced to call upon her ex-cop former husband to get her brother out of a life-or-death situation when he gets involved with the wrong people.",31000,98
A Compassionate Spy,2022,1h 41min,Not Rated,"Documentary, Biography, History",6.5,Steve James,"Joan Hall, Ted Hall, Joseph Albright","The incredible story of Manhattan Project scientist Ted Hall, who shared classified nuclear secrets with Russia.",195870,101
The Disruptors,2022,1h 38min,Not Rated,Documentary,7.2,Stephanie Soechtig,"David Anderson, Dale Archer, Tim Armstrong","The story focuses on families with ADHD members, depicting their challenges and successes in an effort to shift the narrative surrounding ADHD and recognize its potential as an asset rather than solely a disorder.",396610,98
Don't Turn Your Back on Friday Night,2024,1h 42min,Not Rated,Documentary,9.8,Michael O'Brien,"Lin Brehmer, Pete Cimbalo, David Cottini","Former gravedigger Ike Reilly secured a major label deal at 40, bought a home, toured with his band despite critical acclaim but no commercial success.",31000,102
Blue Road: The Edna O'Brien Story,2024,1h 39min,Not Rated,Documentary,7.6,Sinéad O'Shea,"Jessie Buckley, Declan Conlon, Gabriel Byrne","In 1960 a young Irish woman named Edna O'Brien wrote a sexually frank debut novel, The Country Girls. She became a literary sensation, writing for The New Yorker, delivering provocative interviews, and authoring screenplays. Her success enraged her writer",31000,99
Hell Jumper,2024,1h 29min,Not Rated,Documentary,9,Paddy Wivell,Unknown,Chris Parry and friends headed to Ukraine in a white van and hooked up with a rag-tag bunch of civilian 'evacuators' to help people escape their homes. But the group's missions grew riskier and riskier.,31000,89
