Title,Year,Duration,MPAA,Genres,IMDb_Rating,Director,Stars,Plot_Summary,Votes,Duration_In_Minutes
The Sinking of the Lisbon Maru,2023,2h 3min,Not Rated,Documentary,8.4,Li Fang,Unknown,"Through detailed historical investigation, the crew tried their best to find the core parties and descendants from UK, US, Japan and China, getting close to the truth about the sinking of the ""Lisbon Maru"", aka ""ship of death"" in WW II.",29292,123
Sikaar,2024,2h 30min,Not Rated,"Action, Thriller",8.6,Debangkar Borgohain,"Adil Hussain, Zubeen Garg, Paul O'Neill",A Tea garden worker Sankar must apply his hunting skills when he travels from India to London so he may save his fiancé.,31000,150
The Legend of Maula Jatt,2022,2h 33min,Not Rated,"Action, Drama, Fantasy",8.6,Bilal Lashari,"Fawad Khan, Mahira Khan, Humaima Malik","From times untold where legends are written in soil with blood, a hero is born. Maula Jatt, a fierce prizefighter with a tortured past seeks vengeance against his arch nemesis Noori Natt, the most feared warrior in the land of Punjab.",166472,153
The Alpinist,2021,1h 32min,PG-13,"Documentary, Biography",7.9,Peter Mortimer,"Marc-André Leclerc, Alex Honnold","Marc-André Leclerc climbs alone, far from the limelight. The free-spirited 23-year-old makes some of the boldest solo ascents in history. With no cameras and no margin for error, Leclerc's approach is the essence of solo adventure.",137767,92
Bull,2021,1h 28min,R,"Crime, Thriller",6.5,Paul Andrew Williams,"David Nellist, Kevin Harvey, Mark Springer",Bull mysteriously returns home after a 10 year absence to seek revenge on those who double crossed him all those years ago.,251531,88
Margrete: Queen of the North,2021,2h,Not Rated,"Biography, Drama, History",6.6,Charlotte Sieling,"Trine Dyrholm, Søren Malling, Morten Hee Andersen","1402. Queen Margrete is ruling Sweden, Norway and Denmark through her adopted son, Erik. But a conspiracy is in the making and Margrete finds herself in an impossible dilemma that could shatter her life's work: the Kalmar Union.",208963,120
Passing,2021,1h 38min,PG-13,"Drama, Mystery, Thriller",6.6,Rebecca Hall,"Tessa Thompson, Ruth Negga, André Holland","""Passing"" follows the unexpected reunion of two high school friends, whose renewed acquaintance ignites a mutual obsession that threatens both of their carefully constructed realities.",259735,98
On Becoming a Guinea Fowl,2024,1h 35min,PG-13,"Comedy, Drama",6.9,Rungano Nyoni,"Susan Chardy, Roy Chisha, Blessings Bhamjee","On an empty road in the middle of the night, Shula stumbles across the body of her uncle. As funeral proceedings begin around them, she and her cousins bring to light the buried secrets of their middle-class Zambian family.",31000,95
Bad Faith,2024,1h 29min,Not Rated,Documentary,7.4,Stephen Ujlaki,"Ken Peters, Eboo Patel, Steve Schmidt","Exposes how Christian Nationalism has become the most powerful anti-democratic force in America. Leaders join forces to defend our country from this march to fascism, but American citizens seem unaware of the threat.",31000,89
The Kid Detective,2020,1h 40min,R,"Comedy, Drama, Mystery",7,Evan Morgan,"Kaitlyn Chalmers-Rizzato, Adam Brody, Kaleb Horn","A once-celebrated kid detective, now 32, continues to solve the same trivial mysteries between hangovers and bouts of self-pity; until a naive client brings him his first 'adult' case to find out who brutally murdered her boyfriend.",50000,100
The Penguin Lessons,2024,1h 50min,Not Rated,Drama,8.3,Peter Cattaneo,"Steve Coogan, Björn Gustafsson, David Herrero","Starring Oscar nominee Steve Coogan, this poignant dramedy from director Peter Cattaneo follows an Englishman's personal and political awakening after he adopts a penguin during a cataclysmic period in Argentine history.",31000,110
Nitram,2021,1h 52min,Not Rated,"Crime, Drama, Thriller",7.1,Justin Kurzel,"Caleb Landry Jones, Judy Davis, Sean Keenan",Events leading up to the 1996 Port Arthur massacre on Tasmania in an attempt to understand why and how the atrocity occurred.,3911,112
Mending the Line,2022,2h 2min,R,Drama,6.7,Joshua Caldwell,"Brian Cox, Sinqua Walls, Patricia Heaton",A Marine wounded in Afghanistan is sent to a V.A. facility in Montana where he meets a Vietnam Vet who teaches him how to fly fish as a way of dealing with his emotional and physical trauma.,300371,122
The Monk and the Gun,2023,1h 47min,PG-13,"Comedy, Drama",7.2,Pawo Choyning Dorji,"Tandin Wangchuk, Tandin Phubz, Kelsang Choejay","An American travels into Bhutan in search of a valuable antique rifle and crosses paths with a young monk who wanders through the serene mountains, instructed by his teacher to make things right again.",280993,107
Skywalkers: A Love Story,2024,1h 40min,R,Documentary,7.1,Jeff Zimbalist,"Angela Nikolau, Ivan Beerkus","A daring couple travels worldwide to climb the 118-story megatall skyscraper, Merdeka 118, in Kuala Lumpur, Malaysia, attempting a bold acrobatic stunt on the spire to salvage both their career and relationship.",31000,100
Hunt,2022,2h 11min,Not Rated,"Action, Drama, Mystery",6.7,Lee Jung-jae,"Hwang Jung-min, Jung Woo-sung",The International Unit and The Domestic Unit of the Korean Spy Agency are tasked with the mission of uncovering a North Korean Spy known as Donglim who is deeply embedded within their agency.,389262,131
"Paris, 13th District",2021,1h 45min,R,"Comedy, Drama, Romance",7,Jacques Audiard,"Lucie Zhang, Makita Samba, Noémie Merlant","Émilie meets Camille who is attracted to Nora, who crosses paths with Amber. Three girls and a boy - they're friends, sometimes lovers and often both.",146324,105
Government Gangsters,2024,1h 4min,Not Rated,Documentary,8.9,M.A. Taylor,"Sonia Debreczeni, Kash Patel, Chaz Riddle","Government conspiracy to undermine President Trump and his supporters, exposing corruption, deceit, and betrayal within the system meant to protect democracy.",31000,64
Worth,2020,1h 58min,PG-13,"Biography, Drama, History",6.8,Sara Colangelo,"Michael Keaton, Amy Ryan, Stanley Tucci","An attorney in Washington D.C. battles against cynicism, bureaucracy and politics to help the victims of 9/11.",156298,118
Dragon Ball Super: Super Hero,2022,1h 40min,PG-13,"Animation, Action, Adventure",7.1,Tetsuro Kodama,"Masako Nozawa, Aya Hisakawa, Ryô Horikawa",The Red Ribbon Army from Goku's past has returned with two new androids to challenge him and his friends.,259196,100
